PIN,Address
14-20-502-015-0000,Seminary to Sheffield
14-20-502-013-0000,Racine to Seminary
14-20-502-012-0000,Racine to Seminary
14-20-502-011-0000,Lakewood to Racine
14-20-502-010-0000,Southport to Lakewood
14-20-502-009-0000,Southport to Lakewood
14-20-502-008-0000,Janssen to Southport
14-20-502-007-0000,Janssen to Southport
14-20-502-006-0000,Greenview to Janssen
14-20-502-005-0000,Greenview to Janssen
14-20-502-004-0000,Bosworth to Greenview
14-20-502-003-0000,Bosworth to Greenview
14-20-502-002-0000,Ashland to Bosworth
14-20-502-001-0000,Ashland to Bosworth
14-20-501-049-0000,Dakin St. to N. Sheridan Rd.
14-20-501-048-0000,Grace St. to Sheridan Rd.
14-20-501-047-0000,North side of Belmont Ave. and ROW
14-20-501-046-0000,Belmont Ave. to School St.
14-20-501-044-8001,Main Line North - South side of Dakin to Alley Bent 132 to 134
14-20-501-044-8001,W. Sheridan Rd. to Dakin St.
14-20-501-043-8001,W. Sheridan Rd. to Dakin St.
14-20-501-039-8001,N. Sheridan Rd. to Irving Park Ave.
14-20-501-038-8001,N. Sheridan Rd. to Irving Park Ave.
14-20-501-031-0000,School St. to Roscoe St.
14-20-501-030-0000,School St. to Roscoe St.
14-20-501-029-0000,School St. to Roscoe St.
14-20-501-028-0000,School St. to Roscoe St.
14-20-501-027-0000,School St. to Roscoe St.
14-20-501-026-0000,School St. to Roscoe St.
14-20-501-025-0000,School St. to Roscoe St.
14-20-501-024-0000,Roscoe St. to Newport Ave.
14-20-501-023-0000,Roscoe St. to Newport Ave.
14-20-501-022-0000,Roscoe St. to Newport Ave.
14-20-501-021-0000,Newport Ave. to Cornelia St.
14-20-501-020-0000,Newport Ave. to Cornelia St.
14-20-501-019-0000,Cornelia to Addison
14-20-501-018-0000,Cornelia to Addison
14-20-501-016-0000,Addison St. to Waveland Ave.
14-20-501-015-0000,Waveland Ave to Grace St.
14-20-501-014-0000,Waveland Ave to Grace St.
14-20-501-013-0000,Waveland Ave to Grace St.
14-20-501-011-0000,Grace St. to Sheridan Rd.
14-20-501-010-0000,Grace St. to Sheridan Rd.
14-20-501-009-0000,Grace St. to Sheridan Rd.
14-20-501-008-0000,Grace St. to Sheridan Rd.
14-20-501-003-0000,N. Sheridan Rd. to Irving Park Ave.
14-20-425-032-1029,3252 N. Wilton Ave.
14-20-425-032-1028,3252 North Wilton Avenue - Unit 4D
14-20-425-032-1027,3252 N. Wilton Ave.
14-20-425-032-1026,3252 N. Wilton Ave.
14-20-425-032-1025,3252 N. Wilton Ave.
14-20-425-032-1024,3252 N. Wilton Ave.
14-20-425-032-1023,3252 N. Wilton Ave.
14-20-425-032-1022,3252 N. Wilton Ave.
14-20-425-032-1021,3252 N. Wilton Ave.
14-20-425-032-1020,3252 N. Wilton Ave.
14-20-425-032-1019,3252 N. Wilton Ave.
14-20-425-032-1018,3252 N. Wilton Ave.
14-20-425-032-1017,3252 N. Wilton Ave.
14-20-425-032-1016,3252 N. Wilton Ave.
14-20-425-032-1015,3252 N. Wilton Ave.
14-20-425-032-1014,3252 N. Wilton Ave.
14-20-425-032-1013,3252 N. Wilton Ave.
14-20-425-032-1012,3252 North Wilton Avenue - Unit 4D
14-20-425-032-1011,3252 N. Wilton Ave.
14-20-425-032-1010,3252 N. Wilton Ave.
14-20-425-032-1009,3252 N. Wilton Ave.
14-20-425-032-1008,3252 N. Wilton Ave.
14-20-425-032-1007,3252 N. Wilton Ave.
14-20-425-032-1006,3252 N. Wilton Ave.
14-20-425-032-1005,3252 N. Wilton Ave.
14-20-425-032-1004,3252 N. Wilton Ave.
14-20-425-032-1003,3252 N. Wilton Ave.
14-20-425-032-1002,3252 N. Wilton Ave.
14-20-425-032-1001,3252 N. Wilton Ave.
14-20-425-029-0000 (***),938-44 W. Belmont Ave.
14-20-425-028-0000 (***),3206 N. Wilton Ave.
14-20-425-027-0000 (***),3206 N. Wilton Ave.
14-20-425-026-0000,3214-18 N. Wilton Ave.
14-20-425-025-0000,3214-18 N. Wilton Ave.
14-20-425-024-0000,3220-22 N. Wilton Ave.
14-20-425-023-0000,3224 N. Wilton Ave.
14-20-425-022-0000,3228 N. Wilton Ave.
14-20-425-021-0000,3230 N. Wilton Ave.
14-20-425-020-0000,3232 N. Wilton Ave.
14-20-425-019-0000,3236 N. Wilton Ave.
14-20-425-018-0000,3240 N. Wilton Ave.
14-20-418-034-0000,924-928 W. School St.
14-20-418-026-0000,3346 - 3448 N. Clark St.
14-20-413-088-0000,947 - 949 W. Newport Ave.
14-20-413-005-0000,3401 - 3407 N. Clark St.
14-20-313-036-0000,3409 N. Southport Ave.
14-20-313-034-0000,3417 N. Southport Ave.
14-20-311-031-0000,3408 N. Southport Ave.
14-20-311-030-0000,3412 N. Southport Ave.
14-20-228-041-8001,Addison St. to Waveland Ave.
14-19-500-049-0000,3413 N. Paulina Ave.
14-19-500-048-0000,Patterson to Waveland
14-19-500-047-0000,Grace to Bernice
14-19-500-046-0000,Newport to Cornelia
14-19-500-045-0000,Bernice to Byron
14-19-500-044-0000,Ravenswood to Lincoln
14-19-500-041-0000,Marshfield to Ashland
14-19-500-040-0000,Paulina to Marshfield
14-19-500-039-0000,Paulina to Marshfield
14-19-500-038-0000,Ravenswood to Lincoln
14-19-500-037-0000,Ravenswood to Lincoln
14-19-500-035-0000,Grace to Bernice
14-19-500-035-0000,Ravenswood to Lincoln
14-19-500-034-0000,Ravenswood to Newport
14-19-500-033-0000,Ravenswood to Newport
14-19-500-031-0000,Newport to Cornelia
14-19-500-030-0000,Newport to Cornelia
14-19-500-029-0000,Newport to Cornelia
14-19-500-028-0000,Cornelia to Eddy
14-19-500-027-0000,Cornelia to Eddy
14-19-500-026-0000,Cornelia to Eddy
14-19-500-025-0000,Cornelia to Eddy
14-19-500-024-0000,Eddy to Addison
14-19-500-023-0000,Eddy to Addison
14-19-500-022-0000,Eddy to Addison
14-19-500-021-0000,Eddy to Addison
14-19-500-020-0000,Addison to Patterson
14-19-500-019-0000,Addison to Patterson
14-19-500-018-0000,Addison to Patterson
14-19-500-017-0000,Addison to Patterson
14-19-500-013-0000,Waveland to Grace
14-19-500-011-0000,Grace to Bernice
14-19-500-010-0000,Grace to Bernice
14-19-500-008-0000,Bernice to Byron
14-19-500-007-0000,Byron to Dakin
14-19-500-006-0000,Byron to Dakin
14-19-500-005-0000,Byron to Dakin
14-19-500-004-0000,Dakin to Irving Park
14-19-500-003-0000,Dakin to Irving Park
14-19-500-002-0000,Dakin to Irving Park
14-19-500-001-0000,Dakin to Irving Park
14-19-416-043-0000,3409 N. Paulina St. (Parcel 38)
14-19-416-037-0000,3408 N. Marshfield Ave.
14-19-414-044-0000,3400 N. Lincoln Ave.
14-19-414-037-0000,3416 N. Lincoln Ave.
14-19-228-037-0000,1809 W. Patterson St.
14-19-228-034-0000,1822 W. Addison St.
14-19-220-013-0000,1801 W. Grace St.
14-19-201-037-0000,1815 W. Irving Pk Rd.
14-19-201-033-0000,1813 W. Irving Park Rd.
14-18-500-060-0000,1820 W. Irving Park Rd
14-18-500-055-0000,East side Western South of Leland
14-18-500-052-0000,Wilson to Sunnyside
14-18-500-051-0000,Wilson to Sunnyside
14-18-500-049-0000,West side Lincoln South of Leland
14-18-500-048-0000,Warner to Berteau & Wolcott & Wilson
14-18-500-046-0000,Irving Park to Cuyler
14-18-500-045-0000,Irving Park to Cuyler
14-18-500-044-0000,Cuyler to Belle Plaine
14-18-500-043-0000,Cuyler to Belle Plaine
14-18-500-042-0000,Warner to Belle Plaine
14-18-500-040-0000,Berteau to Warner
14-18-500-039-0000,Berteau to Warner
14-18-500-034-0000,Wilson to Sunnyside
14-18-500-033-0000,Ravenswood to Wolcott
14-18-500-032-0000,Ravenswood to Wolcott
14-18-500-031-0000,Ravenswood to Wolcott
14-18-500-026-0000,Warner to Berteau & Wolcott & Wilson
14-18-500-025-0000,West side Wolcott Ave.
14-18-500-023-0000,Wolcott to Winchester Right of Way
14-18-500-022-0000,Wolcott to Winchester Right of Way
14-18-500-021-0000,Winchester to Damen
14-18-500-020-0000,Winchester to Damen
14-18-500-018-0000,Winchester to Damen
14-18-500-017-0000,Damen Ave. to Seeley Ave.
14-18-500-016-0000,Damen Ave. to Seeley Ave.
14-18-500-015-0000,Seeley to Hamilton
14-18-500-014-0000,Hamilton to Leavitt
14-18-500-013-0000,Hamilton to Leavitt
14-18-500-012-0000,Hamilton to Leavitt
14-18-500-011-0000,Leavitt to Lincoln
14-18-500-010-0000,Leavitt to Lincoln
14-18-500-009-0000,Leavitt to Lincoln
14-18-500-008-0000,Leavitt to Lincoln
14-18-500-007-0000,Leavitt to Lincoln
14-18-500-005-0000,Lincoln Ave. to Western Ave.
14-18-500-004-0000,Lincoln Ave. to Western Ave.
14-18-500-003-0000,Lincoln Ave. to Western Ave.
14-18-500-002-0000,"N. Western Ave. S. of W. Leland Ave., Plat No. 2-P-33"
14-18-424-037-0000,Irving Park Station and ROW
14-18-424-032-0000,1816 W. Irving Park Rd.
14-18-417-034-0000,Warner Ave. to Belle Plaine Ave.
14-18-412-035-0000,Berteau Ave. to Warner Ave.
14-18-402-058-0000,1813 W. Montrose Ave.
14-18-228-020-0000,1814 W. Addison St.
14-18-220-023-0000,Sunnyside to Montrose
14-18-220-022-0000,Sunnyside to Montrose
14-18-208-021-0000,Ravenswood Ave. to Wolcott Ave.
14-18-208-020-0000,Ravenswood Ave. to Wolcott Ave.
14-18-208-019-0000,Ravenswood Ave. to Wolcott Ave.
14-18-208-018-0000,Ravenswood Ave. to Wolcott Ave.
14-18-206-033-0000,Damen Station and ROW
14-18-206-031-0000,4639 N. Damen Ave.
14-18-206-009-0000,4647 N. Damen Ave.
14-18-114-022-0000,4634-38 N. Damen Ave.
14-18-114-020-0000,4646 N. Damen Ave.
14-18-110-027-0000,"N. Western Ave. S. of W. Leland Ave., Plat No. 2-P-35"
14-18-110-026-0000,"N. Western Ave. S. of W. Leland Ave., Plat No. 2-P-34"
14-18-110-023-0000,Western & Leland Ave.
14-18-110-007-0000,"N. Western Ave. S. of W. Leland Ave., Plat No. 2-P-32"
14-17-501-014-0000,Irving Park to Buena Ave.
14-17-501-013-0000,Irving Park to Buena Ave.
14-17-501-012-0000,Irving Park to Buena Ave.
14-17-501-011-0000,Irving Park to Buena Ave.
14-17-501-010-0000,Irving Park to Buena Ave.
14-17-501-009-0000,Irving Park to Buena Ave.
14-17-501-008-0000,Irving Park to Buena Ave.
14-17-501-007-0000,Irving Park to Buena Ave.
14-17-501-006-0000,Irving Park to Buena Ave.
14-17-501-005-0000,Irving Park to Buena Ave.
14-17-501-004-0000,Buena Ave. to Montrose Ave.
14-17-501-003-0000,Buena Ave. to Montrose Ave.
14-17-501-002-0000,Buena Ave. to Montrose Ave.
14-17-501-001-0000,Buena Ave. to Montrose Ave.
14-17-500-006-0000,Montrose to Wilson West of Broadway;and Wilson to Lawrence.
14-17-217-030-8001,Montrose to Wilson west of Broadway
14-17-217-014-0000,4401 N. Clifton Avenue
14-08-500-002-8001,Argyle to Bryn Mawr
14-08-404-031-8001,1120 W. Argyle St.
14-08-200-043-0000,"Bryn Mawr Station, south side of street"
14-05-500-002-8001,Bryn Mawr Ave. to Devon Ave.
14-05-400-029-0000,Rear of 5843 Broadway at Ardmore
14-05-400-028-0000,Rear of 5843 Broadway at Ardmore
14-05-208-057-8001,1117-21 Granville Ave.
13-36-500-034-0000,Between Homer & Western
13-36-500-033-0000,Between Homer & Western
13-36-500-032-0000,Between Homer & Western
13-36-500-031-0000,Between Armitage & Homer
13-36-500-030-0000,Between Armitage & Homer
13-36-500-029-0000,Between Armitage & Homer
13-36-500-028-0000,Between Armitage & Homer
13-36-500-027-0000,Between Armitage & Homer
13-36-500-026-0000,Between Attvill St. & Armitage
13-36-500-025-0000,Between Attvill St. & Armitage
13-36-500-024-0000,Between Attvill St. & Armitage
13-36-500-023-0000,Between Attvill St. & Armitage
13-36-500-022-0000,Between Attvill St. & Armitage
13-36-500-021-0000,Between Attvill St. & Armitage
13-36-500-020-0000,Between Attvill St. & Armitage
13-36-500-019-0000,Between Attvill St. & Armitage
13-36-500-018-0000,Between Attvill St. & Francis St.
13-36-500-017-0000,Between Attvill St. & Francis St.
13-36-500-016-0000,Between Prindiville & Attvill
13-36-500-015-0000,Between Prindiville & Attvill
13-36-500-014-0000,Between Prindiville & Attvill
13-36-500-013-0000,Between Prindiville & Attvill
13-36-500-012-0000,Between George St. to Prindwille
13-36-500-011-0000,Between George St. to Prindwille
13-36-500-010-0000,Between California to George St.
13-36-500-008-0000,Between Lyndale Ave. & California
13-36-500-007-0000,Between Belden & Lyndale Aves.
13-36-500-006-0000,Between Belden & Lyndale Aves.
13-36-500-005-0000,Between Belden & Lyndale Aves.
13-36-500-004-0000,Between Belden & Lyndale Aves.
13-36-500-003-0000,Between Medill & Belden
13-36-500-002-0000,Between Fullerton Ave. & Medill
13-36-500-001-0000,Between Fullerton Ave. & Medill
13-36-214-026-8001,Between California to George St.
13-33-113-032-0000,"W. Grand Ave. W. of N. Latrobe Ave., Plat No. 2-P-72"
13-33-113-030-0000,"W. Grand Ave. W. of N. Latrobe Ave., Plat No. 2-P-72"
13-32-315-027-0000,"N. Narragansett Ave. & W. North Ave., Plat No. 2-P-39 (Inside Lot)"
13-30-326-032-0000,"7016-30 W. Grand Ave. E. of N. Nordica Ave., Plat No. 2-P-64"
13-30-326-029-0000,"7016-30 W. Grand Ave. E. of N. Nordica Ave., Plat No. 2-P-64"
13-30-127-027-0000,(Corner Lot) W. Diversey Ave. & N. Neva Ave.; Plat No. 2-P-1229
13-26-215-001-0000,3401 W. Barry Ave. (Barry/Kimball) Lot 1
13-25-500-011-0000,Rear of Logan Square Station
13-25-500-010-8001,Between Linden Pl. & Milwaukee Ave.
13-25-500-008-8001,Logan Square Station
13-25-500-007-0000,Between Sacramento to Fullerton
13-25-500-006-0000,Between Sacramento to Fullerton
13-25-500-005-0000,Between Linden Pl. & Sacramento Ave.
13-25-314-060-0000,"Milwaukee Ave., Logan Blvd., Kedzie Ave."
13-25-314-056-0000,"Milwaukee Ave., Logan Blvd., Kedzie Ave."
13-25-314-053-0000,Milwaukee/Kedzie/Logan Blvd.
13-19-434-046-0000,6405 School St.
13-17-300-079-0000,"(Corner Lot) W. Montrose Ave. & N. Narragansett Ave., Plat No. 2-P-111"
13-16-403-018-0000,(Corner Lot) N. Cicero Ave. & W. Pensacola Ave. Polat no. 2-P-51
13-16-403-017-0000,(Corner Lot) N. Cicero Ave. & W. Pensacola Ave. Polat no. 2-P-50
13-16-403-016-0000,(Corner Lot) N. Cicero Ave. & W. Pensacola Ave. Polat no. 2-P-49
13-15-423-014-8001,4120 W. Irving Park Road; 4019 N. Kedvale; Plat No. 2-P-272
13-14-204-054-8001,Lawrence / Kimball Yards
13-14-204-047-0000,Lawrence / Kimball Yards
13-14-204-020-0000,Lawrence / Kimball Yards
13-14-204-018-0000,Lawrence / Kimball Yards
13-13-500-003-8001,Campbell Ave. to Rockwell Ave.
13-13-500-001-0000,Albany to Kedzie
13-13-111-011-0000,West of North Shore Channel
13-13-111-009-0000,West of North Shore Channel
13-12-226-019-0000,5316-28 N. Western Ave.
13-12-101-012-0000,3100-26 W. Foster Ave.
13-12-101-006-0000,3100-26 W. Foster Ave.
13-12-100-033-0000,5329 North Kedzie Ave.
13-09-118-013-0000,5601 N. Elston Ave.
13-04-312-028-8001,5304-20 W. Armstrong Ave.; 5415-41 W. Armstrong Ave.
13-04-312-022-0000,5601 N. Elston Ave.
13-04-312-018-0000,5304-20 W. Armstrong Ave.; 5415-41 W. Armstrong Ave.
13-04-312-014-0000,5353 W. Armstrong Ave.
13-04-312-012-0000,5353 W. Armstrong Ave.
13-04-312-011-0000,5304-20 W. Armstrong Ave.; 5415-41 W. Armstrong Ave.
12-26-201-075-0000,Belmont & Thatcher (Cumberland)
12-25-206-027-0000,Belmont & Octavia (corner Lot)
12-23-400-006-0000,Addison/Pontiac
11-32-500-011-0000,Morse Ave. to Greenleaf Ave.
11-32-500-010-0000,Pratt Blvd. to Farwell Ave.
11-32-500-007-8001,Devon Ave. to east side of Sheridan Rd.
11-32-500-006-0000,Northside Sheridan and eastside Sheridan next to Loyola campus
11-32-500-004-0000,West Side Sheridan Rd. to Pratt Blvd.
11-32-500-001-0000,Greenleaf Ave. to Touhy Ave.
11-32-122-008-0000,North side of W. Pratt Ave.
11-32-122-006-0000,North side of W. Pratt Ave.
11-32-121-016-0000,North side of W. Pratt Ave.
11-32-121-007-0000,South side of W. Farwell Ave.
11-32-116-030-8001,1405 Morse Ave.
11-32-116-019-0000,Farwell Ave. to Morse Ave.
11-32-116-009-0000,Farwell Ave. to Morse Ave.
11-32-113-028-0000,Morse Ave. to Lunt Ave.
11-32-113-023-8001,1402 Morse Ave.
11-32-109-010-0000,North side of W. Lunt Ave.
11-32-109-005-0000,South side of W. Greenleaf Ave.
11-32-105-023-0000,North side of Greenleaf Ave.
11-32-105-013-0000,South side of W. Estes Ave.
11-32-101-010-0000,North  side of W. Estes Ave.
11-31-417-004-0000,N. Clark St. & W. Arthur Ave. Plat No. 2-P-27 (part)
11-31-416-094-0000 (Part),N. Clark St. & W. Arthur Ave. Plat No. 2-P-28
11-30-500-004-0000,Between Rogers Ave & Howard
11-30-500-003-0000,Fargo Avenue to Howard St.
11-30-404-054-8001,Howard Station
11-30-404-029-0000,"South of Howard St., east of Hermitage Ave., N of Rogers Ave., adj. to CTA ROW (Red Line)"
11-30-404-028-0000,
11-30-404-007-0000,Fargo to Howard
11-30-300-044-0000,N. Western Ave. N. of W. Birchwood Ave.; Plat No. 2-P-31
11-30-213-051-0000,Howard St. Terminal & Yard
11-30-213-050-0000,Howard St. Terminal & Yard
11-30-213-049-0000,Howard St. Terminal & Yard
11-30-213-046-8001,Howard St. Terminal & Yard
11-30-213-042-0000,Howard St. Terminal & Yard
11-30-213-021-0000,Howard St. Terminal & Yard
11-30-213-011-0000,Howard St. Terminal & Yard
11-30-213-009-0000,Howard St. Terminal & Yard
11-30-213-006-0000,Howard St. Terminal & Yard
11-30-213-005-0000,Howard St. Terminal & Yard
11-30-213-004-0000,Howard St. Terminal & Yard
11-30-213-003-0000,Howard St. Terminal & Yard
11-30-212-016-0000,212-216 Chicago Ave.
11-30-212-015-0000,Mulford St. to Oakton St.
11-30-208-004-0000,Chicago Ave. to Callan Ave.
11-30-206-017-0000,Callan Ave. to Custer Ave.
11-30-206-007-0000,Callan Ave. to Custer Ave.
11-30-118-015-0000,Custer Ave. to Elmwood Ave.
11-30-118-001-0000,Custer Ave. to Elmwood Ave.
11-30-117-001-0000,Elmwood Ave. to Ridge Ave.
11-30-116-021-0000,Ridge Ave to Vacation of SS R/W Barton Ave.
11-30-116-020-0000,Ridge Ave to Vacation of SS R/W Barton Ave.
11-30-115-008-0000,Barton Ave (vacation to E. side of Asbury Ave.)
11-30-115-007-0000,Barton Ave (vacation to E. side of Asbury Ave.)
11-29-500-003-0000,Jarvis Station and Red Line ROW
11-19-501-026-0000,Main St. to Lee St.
11-19-501-024-0000,Main St. to Lee St.
11-19-501-023-0000,Oakton St. to South Blvd.
11-19-501-022-0000,South Blvd to Kenney St.
11-19-501-012-0000,Main St. to Lee St.
11-19-501-010-0000,Lee St. to Greenleaf St.
11-19-501-009-0000,Lee St. to Greenleaf St.
11-19-501-008-0000,Lee St. to Greenleaf St.
11-19-501-007-0000,Lee St. to Greenleaf St.
11-19-501-006-0000,Greenleaf St. to Dempster St.
11-19-501-005-0000,Greenleaf St. to Dempster St.
11-19-501-004-0000,Greenleaf St. to Dempster St.
11-19-501-003-0000,Greenleaf St. to Dempster St.
11-19-501-002-0000,Greenleaf St. to Dempster St.
11-19-501-001-0000,Greenleaf St. to Dempster St.
11-19-425-004-0000,Keeney Street to Madison Street
11-19-425-003-0000,Keeney St. to Madison St.
11-19-424-006-0000,Chicago & Main
11-19-424-005-0000,Chicago & Main
11-19-424-004-0000,Madison St. to Washington St.
11-18-500-023-0000,Hamlin St. to Simpson St.
11-18-500-022-0000,Garnett Pl. to Foster
11-18-500-021-0000,Davis St. to Church St.
11-18-500-020-0000,Dempster to Greenwood Blvd.
11-18-500-019-0000,Dempster to Greenwood Blvd.
11-18-500-018-0000,Greenwood Blvd. to Lake St.
11-18-500-016-0000,Lake St. to Grove St.
11-18-500-015-0000,Grove to Davis St.
11-18-500-010-0000,West side of Benson Ave. north of University Pl.
11-18-500-008-0000,Emerson St. to Garnett Pl
11-18-500-007-0000,Emerson St. to Garnett Pl
11-18-500-006-0000,Emerson St. to Garnett Pl
11-18-500-005-0000,Garnett Pl. to Foster
11-18-500-003-0000,Foster St. to Hamlin St.
11-18-500-002-0000,Foster St. to Hamlin St.
11-18-317-007-0000,S.W. corner Lake St. & Sherman Ave.
11-18-311-028-0000,between Davis & Grove Sts.
11-18-125-015-0000,between Clark & Church
11-18-118-005-8001,Clark St. to University Pl.
11-18-113-007-0000,N. side University Pl between Benson & Maple
11-18-109-044-0000,Garnett Pl. to Foster
11-18-109-042-0000,Emerson St. to Garnett Pl
11-18-109-040-0000,Emerson St. to Garnett Pl
11-07-500-018-0000,South of Lincoln St.
11-07-500-015-0000,South of Lincoln St.
11-07-500-014-0000,Simpston St. to Gaffield Pl.
11-07-500-013-0000,Simpston St. to Gaffield Pl.
11-07-500-012-0000,Gaffield Pl. to Noyes St.
11-07-500-011-0000,Gaffield Pl. to Noyes St.
11-07-500-010-0000,Gaffield Pl. to Noyes St.
11-07-500-009-0000,Noyes St. to Colfax St.
11-07-500-008-0000,Noyes St. to Colfax St.
11-07-500-007-0000,Noyes St. to Colfax St.
11-07-500-004-0000,Central St. to Lincoln St.
11-07-500-003-0000,Central St. to Lincoln St.
11-07-114-020-0000,Noyes St. to Colfax St.
11-07-109-017-0000,Lot 13 north side of Colfax
11-07-102-030-8001,Between Central & Lincoln
11-07-101-012-8001,"So. side of Central Street, Evanston IL"
10-27-500-010-8001,Between Crawford Ave. & Oakton St.
10-27-500-009-8001,Karlov Ave. to E. Prairie Ave.
10-27-500-008-8001,Karlov to Keeler
10-27-500-007-0000,Oakton St. to Kenton Ave.
10-27-500-006-0000,Oakton St. to Kenton Ave.
10-26-500-001-0000,McCormick Blvd. to W. Line of Skokie Shops and South of Shops
10-26-109-009-0000,Avers to Hamlin
10-26-102-005-0000,3701 W. Oakton Streeet
10-25-219-020-0000,"Lots 1 & 2 (vacant ROW); 214 Asbury Avenue, Evanston, west side of Asbury"
10-25-214-019-0000,"Lots 1 & 2 (vacant ROW); 214 Asbury Avenue, Evanston, west side of Asbury"
10-25-213-066-0000,Florence Ave. to Dodge Ave.
10-25-105-001-0000,Chicago & West Ridge RR to Dodge Ave.
10-25-104-001-0000,Hartney Ave. to Chicago & W Ridge RR
10-22-501-001-0000,Oakton St. & NW corner Cicero
10-21-501-022-0000,"Dempster St. to Carol Ave., 5001 Dempster"
10-21-501-020-0000,Valos St to Searle Parkway
10-21-501-019-0000,Conrad Ave. to Lee St.
10-21-501-018-0000,Lee St to Elm St.
10-21-501-017-0000,Elm St. To Main St.
10-21-501-009-0000,Valos St to Searle Parkway
10-21-501-008-0000,Valos St to Searle Parkway
10-21-501-007-0000,Valos St to Searle Parkway
10-21-501-006-0000,Main St. to Valos St.
10-21-501-002-0000,Carol Ave to Conrad Ave
10-21-217-002-0000,"Vicinity of Greenleaft St. & terminal Ave., Skokie"
09-36-105-111-0000,7649-59 W. Touhy Ave.; 7157-63 N. Overhill Ave.
05-35-500-010-0000,Central St. to Chancellor St.
05-35-500-009-0000,Chancellor St. to Isabella St.
05-35-500-008-0000,Chancellor St. to Isabella St.
05-35-500-007-0000,Chancellor St. to Isabella St.
05-35-500-006-0000,Chancellor St. to Isabella St.
05-35-500-005-0000,Chancellor St. to Isabella St.
05-35-500-004-0000,Isabella St. to Maple Ave.
05-35-500-003-0000,Isabella St. to Maple Ave.
05-35-500-002-0000,Isabella St. to Maple Ave.
05-35-500-001-0000,Maple Ave. to Laurel Ave.
05-35-306-023-0000,Between Gregory St. and Maple Ave.
05-35-115-116-0000,Maple Ave. to Laurel Ave.
05-35-115-113-0000,Maple Ave. to Laurel Ave.
05-35-115-043-0000,Maple Ave. to Laurel Ave.
05-35-115-042-0000,Maple Ave. to Laurel Ave.
05-35-115-040-0000,Maple Ave. to Laurel Ave.
05-35-115-039-0000,Maple Ave. to Laurel Ave.
